grupo_edad,nacionalidad,anio,poblacion
De 15 a 19 anios,De Oceania,1 de enero de 2010,41
De 15 a 19 anios,De Oceania,1 de julio de 2009,40
De 15 a 19 anios,De Oceania,1 de enero de 2009,41
De 15 a 19 anios,De Oceania,1 de julio de 2008,38
De 15 a 19 anios,De Oceania,1 de enero de 2008,43
De 15 a 19 anios,De Oceania,1 de julio de 2007,44
De 15 a 19 anios,De Oceania,1 de enero de 2007,44
De 15 a 19 anios,De Oceania,1 de julio de 2006,46
De 15 a 19 anios,De Oceania,1 de enero de 2006,45
De 15 a 19 anios,De Oceania,1 de julio de 2005,45
De 15 a 19 anios,De Oceania,1 de enero de 2005,39
De 15 a 19 anios,De Oceania,1 de julio de 2004,42
De 15 a 19 anios,De Oceania,1 de enero de 2004,40
De 15 a 19 anios,De Oceania,1 de julio de 2003,39
De 15 a 19 anios,De Oceania,1 de enero de 2003,36
De 15 a 19 anios,De Oceania,1 de julio de 2002,30
De 15 a 19 anios,De Oceania,1 de enero de 2002,22
De 15 a 19 anios,Apatridas,1 de julio de 2022,41
De 15 a 19 anios,Apatridas,1 de enero de 2022,37
De 15 a 19 anios,Apatridas,1 de julio de 2021,33
De 15 a 19 anios,Apatridas,1 de enero de 2021,27
De 15 a 19 anios,Apatridas,1 de julio de 2020,26
De 15 a 19 anios,Apatridas,1 de enero de 2020,24
De 15 a 19 anios,Apatridas,1 de julio de 2019,20
De 15 a 19 anios,Apatridas,1 de enero de 2019,20
De 15 a 19 anios,Apatridas,1 de julio de 2018,18
De 15 a 19 anios,Apatridas,1 de enero de 2018,18
De 15 a 19 anios,Apatridas,1 de julio de 2017,19
De 15 a 19 anios,Apatridas,1 de enero de 2017,19
De 15 a 19 anios,Apatridas,1 de julio de 2016,19
De 15 a 19 anios,Apatridas,1 de enero de 2016,19
De 15 a 19 anios,Apatridas,1 de julio de 2015,15
De 15 a 19 anios,Apatridas,1 de enero de 2015,12
De 15 a 19 anios,Apatridas,1 de julio de 2014,11
De 15 a 19 anios,Apatridas,1 de enero de 2014,10
De 15 a 19 anios,Apatridas,1 de julio de 2013,11
De 15 a 19 anios,Apatridas,1 de enero de 2013,14
De 15 a 19 anios,Apatridas,1 de julio de 2012,14
De 15 a 19 anios,Apatridas,1 de enero de 2012,14
De 15 a 19 anios,Apatridas,1 de julio de 2011,11
De 15 a 19 anios,Apatridas,1 de enero de 2011,11
De 15 a 19 anios,Apatridas,1 de julio de 2010,13
